x_px,y_px
1583,481
1584,481
1585,481
1586,481
1587,481
1588,481
1589,481
1590,481
1591,502
1592,356
1593,354
1594,342
1595,340
1596,335
1597,335
1598,335
1599,335
1600,334
1601,334
1602,334
1603,334
1604,334
1605,334
1606,334
1607,334
1608,333
1631,916
1632,916
1633,916
1634,916
1635,916
1636,916
1637,916
1638,941
1639,952
1640,955
1641,956
1642,958
1643,975
1644,986
1645,1002
1646,1003
1647,1003
1648,1005
1649,1019
1650,641
1651,641
1652,641
1653,641
1654,641
1655,648
1656,650
1657,651
1658,655
1659,655
1660,655
1661,655
1662,655
1663,655
1664,655
1665,657
1666,673
1667,686
1668,686
1669,686
1670,686
1671,686
1672,686
1673,686
1674,686
1675,686
1676,686
1677,685
1678,684
1679,667
1680,666
1681,664
1682,611
1683,609
1684,604
1685,602
1686,598
1687,598
1688,598
1689,598
1690,598
1691,598
1692,598
1693,598
1694,605
1695,606
1696,607
1697,607
1698,608
1699,609
1700,632
1701,665
1702,672
1703,672
1704,672
1705,672
1706,672
1707,672
1708,672
1709,666
1710,666
1711,666
1712,666
1713,666
1714,666
1715,665
1716,663
1717,394
1718,394
1719,394
1720,394
1721,394
1722,394
1723,417
1724,440
1725,462
1726,485
1727,508
1728,531
1729,554
1730,577
1731,600
1732,622
1733,645
1734,668
1735,668
1736,668
1737,668
1738,668
1739,668
1740,668
1741,668
1742,668
1743,668
1744,668
1745,668
1746,668
1747,670
1748,700
1749,733
1750,760
1751,763
1752,763
1753,763
1754,764
1755,594
1756,594
1757,594
1758,594
1759,594
1760,594
1761,603
1762,605
1763,605
1764,605
1765,607
1766,634
1767,658
1768,665
1769,666
1770,667
1771,691
1772,692
1773,692
1774,692
1775,692
1776,692
1777,692
1778,692
1779,655
1780,655
1781,655
1782,655
1783,655
1784,655
1785,655
1786,655
1787,655
1788,655
1789,654
1790,652
1791,544
1792,544
1793,544
1794,544
1795,544
1796,544
1797,544
1798,544
1799,544
1800,544
1801,544
1802,544
1803,544
1804,548
1805,548
1806,548
1807,549
1808,549
1809,550
1810,552
1811,553
1812,553
1813,554
1814,554
1815,554
1816,555
1817,561
1818,562
1819,562
1820,562
1821,562
1822,562
1823,562
1824,562
1825,562
1826,562
1827,562
1828,562
1829,562
1830,562
1831,562
1832,562
1833,562
1834,562
1835,562
1836,562
1837,553
1838,552
1839,552
1840,552
1841,552
1842,551
1843,551
1844,551
1845,551
1846,551
1847,551
1848,551
1849,551
1850,548
1851,524
1852,522
1853,516
1854,514
1855,488
1856,487
1857,469
1858,469
1859,469
1860,468
1861,468
1862,467
1863,467
1864,467
1865,467
1866,467
1867,467
1868,467
1869,467
1870,467
1871,467
1872,467
1873,467
1874,467
1875,467
1876,467
1877,467
1878,467
1879,467
1880,467
1881,463
1882,494
1883,516
1884,537
1885,558
1886,579
1887,601
1888,622
1889,643
1890,664
1891,664
1892,664
1893,664
1894,664
1895,664
1896,664
1897,664
1898,664
1899,664
1900,664
1901,664
1902,664
1903,679
1904,696
1905,697
1906,697
1907,697
1908,697
1909,697
1910,697
1911,697
1912,633
1913,633
1914,633
1915,632
1916,632
1917,632
1918,632
1919,632
1920,632
1921,632
1922,632
1923,632
1924,632
1925,632
1926,632
1927,632
1928,632
1929,632
1930,626
1931,626
1932,626
1933,626
1934,626
1935,626
1936,628
1937,630
1952,630
1953,630
1954,630
1955,630
1956,630
1957,630
1958,630
1959,630
1960,630
1961,622
1962,608
1963,608
1964,608
1965,608
1966,608
1967,607
1968,606
1969,597
1970,587
1971,552
1972,550
1973,548
1974,547
