x_px,y_px
1306,545
1307,546
1308,546
1309,546
1310,546
1311,546
1312,546
1313,546
1314,547
1315,548
1316,553
1317,577
1318,598
1319,619
1320,640
1321,661
1322,682
1323,704
1324,725
1325,746
1326,767
1327,788
1328,809
1329,830
1330,830
1331,830
1332,830
1333,830
1334,828
1335,828
1336,827
1337,786
1338,764
1339,763
1340,762
1341,738
1342,738
1343,738
1344,738
1345,738
1346,738
1347,738
1348,738
1349,738
1350,702
1351,702
1352,702
1353,702
1354,702
1355,702
1356,702
1357,702
1358,702
1359,702
1360,702
1361,702
1362,702
1363,702
1364,702
1365,702
1366,702
1367,702
1368,702
1369,702
1370,723
1371,753
1372,755
1373,756
1374,757
1375,759
1376,760
1377,761
1378,761
1379,761
1380,761
1381,766
1382,766
1383,766
1384,766
1385,766
1386,766
1387,766
1388,766
1389,766
1390,766
1391,768
1392,784
1393,796
1394,623
1395,450
1396,453
1397,454
1398,454
1399,454
1400,454
1401,454
1402,454
1403,454
1404,454
1405,454
1406,453
1407,452
1408,451
1409,430
1410,429
1411,428
1412,416
1413,414
1414,403
1415,402
1416,401
1417,400
1418,400
1419,400
1420,400
1421,400
1422,400
1423,400
1424,398
1425,397
1426,396
1427,395
1428,389
1429,389
1430,389
1431,389
1432,389
1433,389
1434,391
1435,392
1436,392
1437,392
1438,392
1439,392
1440,392
1441,392
1442,376
1443,376
1444,376
1445,376
1446,376
1447,376
1448,376
1449,376
1450,376
1451,376
1452,370
1453,370
1454,370
1455,370
1456,370
1457,370
1458,370
1459,370
1460,370
1461,370
1462,370
1463,370
1464,370
1465,370
1466,370
1467,370
1468,370
1469,370
1470,370
1471,370
1472,370
1473,370
1474,370
1475,370
1476,370
1477,370
1478,369
1479,369
1480,369
1481,369
1482,369
1483,369
1484,369
1485,381
1486,382
1487,382
1488,382
1489,382
1490,382
1491,383
1492,388
1493,390
1494,391
1495,392
1496,415
1497,417
1498,417
1499,417
1500,417
1501,417
1502,417
1503,417
1504,417
1505,417
1506,432
1507,444
1508,445
1509,445
1510,445
1511,445
1512,446
1513,446
1514,448
1515,467
1516,497
1517,505
1559,509
1560,509
1561,509
1562,509
1563,509
1564,509
1565,509
1566,509
1567,495
1568,494
1569,494
1570,494
1571,494
1572,494
1573,494
1574,494
1575,493
1576,480
1577,480
1578,480
1579,480
1580,479
1581,479
1582,479
1583,479
1584,479
1585,479
1586,479
1587,479
1588,479
1589,498
1590,526
1591,429
1592,331
1593,331
1594,331
1595,331
1596,331
1597,331
1598,331
1599,331
1600,331
1601,331
1602,331
1603,331
1604,331
1605,331
1606,331
1632,751
1633,833
1634,914
1635,914
1636,914
1637,914
1638,915
1639,949
1640,953
1641,954
1642,955
1643,960
1644,982
1645,998
1646,1000
1647,1001
1648,1002
1649,1004
1650,1019
1651,830
1652,640
1653,640
1654,647
1655,648
1656,650
1657,653
1658,653
1659,653
1660,653
1661,653
1662,653
1663,654
1664,655
1665,671
1666,684
1667,684
1668,684
1669,684
1670,684
1671,684
1672,684
1673,684
1674,684
1675,684
1676,683
1677,682
1678,665
1679,664
1680,662
1681,608
1682,606
1683,601
1684,599
1685,596
1686,596
1687,596
1688,596
1689,596
1690,596
1691,596
1692,596
1693,604
1694,604
1695,605
1696,605
1697,606
1698,608
1699,634
1700,663
1701,671
1702,671
1703,671
1704,671
1705,671
1706,671
1707,671
1708,664
1709,664
1710,664
1711,664
1712,664
1713,664
1714,663
1715,661
1716,516
1717,371
1718,371
1719,385
1720,405
1721,425
1722,446
1723,466
1724,486
1725,506
1726,527
1727,547
1728,567
1729,587
1730,607
1731,628
1732,648
1733,668
1734,668
1735,668
1736,668
1737,668
1738,668
1739,668
1740,668
1741,668
1742,668
1743,668
1744,668
1745,668
1746,668
1747,696
1748,704
1749,738
1750,760
1751,761
1752,761
1753,761
1754,676
1755,591
1756,591
1757,591
1758,591
1759,593
1760,602
1761,602
1762,603
1763,603
1764,616
1765,633
1766,657
